player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Andrew Gaff,West Coast Eagles,Carlton,-71,Round 19,109,88,30,83,46,46,80,45,42,69,49,0,67,58.6,59.714285714285715,67.47058823529412,-2.05,51.52
Andrew Gaff,West Coast Eagles,North Melbourne,5,Round 20,87,109,88,30,83,46,46,80,45,42,69,1,75.66666666666667,71.2,68.85714285714286,69.77777777777777,4.07,57.14
Andrew McGrath,Essendon,West Coast Eagles,50,Round 11,94,117,69,75,66,67,84,65,79,88,81,0,87,78.8,77.57142857142857,79.1,-4.89,38.24
Andrew McGrath,Essendon,North Melbourne,6,Round 12,73,94,117,69,75,66,67,84,65,79,88,1,93.33333333333333,84.2,81.71428571428571,80.45454545454545,9.51,65.79
Andrew McGrath,Essendon,Carlton,34,Round 13,80,73,94,117,69,75,66,67,84,65,79,0,94.66666666666667,85.6,80.14285714285714,79.83333333333333,2.14,48.48
Andrew McGrath,Essendon,Fremantle,-32,Round 15,107,80,73,94,117,69,75,66,67,84,65,0,82.33333333333333,86.6,82,79.84615384615384,-5.32,35.14
Andrew McGrath,Essendon,Port Adelaide,-4,Round 16,64,107,80,73,94,117,69,75,66,67,84,1,86.66666666666667,94.2,87.85714285714286,81.78571428571429,0.57,53.12
Andrew McGrath,Essendon,Adelaide Crows,18,Round 17,97,64,107,80,73,94,117,69,75,66,67,1,83.66666666666667,83.6,86.28571428571429,80.6,-6.65,30.77
Andrew McGrath,Essendon,Geelong Cats,-77,Round 18,87,97,64,107,80,73,94,117,69,75,66,0,89.33333333333333,84.2,90.28571428571429,81.625,-5.54,45.16
Andrew McGrath,Essendon,Western Bulldogs,-41,Round 19,106,87,97,64,107,80,73,94,117,69,75,1,82.66666666666667,87,86,81.94117647058823,7.1,68.75
Andrew McGrath,Essendon,Sydney Swans,-2,Round 20,59,106,87,97,64,107,80,73,94,117,69,1,96.66666666666667,92.2,87.71428571428571,83.27777777777777,-4.19,27.27
Andrew Phillips,Essendon,Fremantle,-32,Round 15,67,50,65,18,56,59,43,78,51,56,24,0,44.333333333333336,49.6,52.714285714285715,50,-9.75,36.36
Andrew Phillips,Essendon,Port Adelaide,-4,Round 16,97,67,50,65,18,56,59,43,78,51,56,1,60.666666666666664,51.2,51.142857142857146,51.54545454545455,15.45,80
Andrew Phillips,Essendon,Adelaide Crows,18,Round 17,55,97,67,50,65,18,56,59,43,78,51,1,71.33333333333333,59.4,58.857142857142854,55.333333333333336,0.71,50
Andrew Phillips,Essendon,Western Bulldogs,-41,Round 19,71,55,97,67,50,65,18,56,59,43,78,1,73,66.8,58.285714285714285,55.30769230769231,0.66,33.33
Andrew Phillips,Essendon,Sydney Swans,-2,Round 20,58,71,55,97,67,50,65,18,56,59,43,1,74.33333333333333,68,60.42857142857143,56.42857142857143,4.84,55.56
Angus Brayshaw,Melbourne,Fremantle,-7,Round 11,92,57,81,73,95,80,45,66,74,86,98,1,70.33333333333333,77.2,71,75.5,-9.32,35
